character,start,end
Angela Hayes,5544000,5557000
Jane Burnham,5558000,5604000
Angela Hayes,5558000,5604000
Lester Burnham,5559000,5604000
Ricky Fitts,5604000,5787000
Colonel Fitts,5609000,5787000
nt0441477,5642000,5787000
Barbara Fitts,5716000,5787000
Carolyn Burnham,5789000,5920000
Jane Burnham,5814000,5920000
Angela Hayes,5816000,5920000
Ricky Fitts,5827000,5920000
nt0432485,5883000,5920000
Lester Burnham,5920000,6123000
Colonel Fitts,5925000,6123000
nt0313483,6105000,6123000
Carolyn Burnham,6123000,6345000
Lester Burnham,6145000,6345000
Angela Hayes,6180000,6345000
nt0313488,6289000,6345000
Carolyn Burnham,6346000,6406000
Lester Burnham,6358000,6406000
Angela Hayes,6363000,6406000
Jane Burnham,6406000,6523000
Ricky Fitts,6406000,6523000
Angela Hayes,6421000,6523000
Lester Burnham,6424000,6523000
Carolyn Burnham,6523000,6708000
Angela Hayes,6538000,6708000
Lester Burnham,6541000,6708000
Young Jane,6677000,6708000
nt0458722,6682000,6708000
Jane Burnham,6715000,6776000
Ricky Fitts,6715000,6776000
Lester Burnham,6741000,6776000
Lester Burnham,6776000,6956000
Jane Burnham,6804000,6956000
Ricky Fitts,6804000,6956000
Angela Hayes,6819000,6956000
Carolyn Burnham,6833000,6956000
Colonel Fitts,6848000,6956000
Young Jane,6862000,6956000
nt0820795,6904000,6956000
