Shuttle,First Flight,Last Flight
Enterprise,12-Aug-77,26-Oct-77
Columbia,12-Apr-81,16-Jan-03
Challenger,4-Apr-83,28-Jan-86
Discovery,30-Aug-84,24-Feb-11
Atlantis,3-Oct-85,8-Jul-11
Endeavour,7-May-92,16-May-11
