character,movie,time
Stan Shunpike</a,Philosopher's/Sorcerer's Stone,0
Stan Shunpike</a,Chamber of Secrets,0
Stan Shunpike</a,Prisoner of Azkaban,120
Stan Shunpike</a,Goblet of Fire,0
Stan Shunpike</a,Order of the Phoenix,0
Stan Shunpike</a,Half-Blood Prince,0
Stan Shunpike</a,"Deathly Hallows, Part I",0
Stan Shunpike</a,"Deathly Hallows, Part II",0
Rubeus Hagrid</a,Philosopher's/Sorcerer's Stone,990
Rubeus Hagrid</a,Chamber of Secrets,495
Rubeus Hagrid</a,Prisoner of Azkaban,315
Rubeus Hagrid</a,Goblet of Fire,225
Rubeus Hagrid</a,Order of the Phoenix,165
Rubeus Hagrid</a,Half-Blood Prince,240
Rubeus Hagrid</a,"Deathly Hallows, Part I",255
Rubeus Hagrid</a,"Deathly Hallows, Part II",60
Alicia Spinnet</a,Philosopher's/Sorcerer's Stone,45
Alicia Spinnet</a,Chamber of Secrets,30
Alicia Spinnet</a,Prisoner of Azkaban,0
Alicia Spinnet</a,Goblet of Fire,0
Alicia Spinnet</a,Order of the Phoenix,0
Alicia Spinnet</a,Half-Blood Prince,0
Alicia Spinnet</a,"Deathly Hallows, Part I",0
Alicia Spinnet</a,"Deathly Hallows, Part II",0
Alastor &#x27;Mad-&#xAD;Eye&#x27; Moody</a,Philosopher's/Sorcerer's Stone,0
Alastor &#x27;Mad-&#xAD;Eye&#x27; Moody</a,Chamber of Secrets,0
Alastor &#x27;Mad-&#xAD;Eye&#x27; Moody</a,Prisoner of Azkaban,0
Alastor &#x27;Mad-&#xAD;Eye&#x27; Moody</a,Goblet of Fire,30
Alastor &#x27;Mad-&#xAD;Eye&#x27; Moody</a,Order of the Phoenix,90
Alastor &#x27;Mad-&#xAD;Eye&#x27; Moody</a,Half-Blood Prince,0
Alastor &#x27;Mad-&#xAD;Eye&#x27; Moody</a,"Deathly Hallows, Part I",90
Alastor &#x27;Mad-&#xAD;Eye&#x27; Moody</a,"Deathly Hallows, Part II",0
Fenrir Greyback</a,Philosopher's/Sorcerer's Stone,0
Fenrir Greyback</a,Chamber of Secrets,0
Fenrir Greyback</a,Prisoner of Azkaban,0
Fenrir Greyback</a,Goblet of Fire,0
Fenrir Greyback</a,Order of the Phoenix,0
Fenrir Greyback</a,Half-Blood Prince,75
Fenrir Greyback</a,"Deathly Hallows, Part I",45
Fenrir Greyback</a,"Deathly Hallows, Part II",45
Kreacher</a,Philosopher's/Sorcerer's Stone,0
Kreacher</a,Chamber of Secrets,0
Kreacher</a,Prisoner of Azkaban,0
Kreacher</a,Goblet of Fire,0
Kreacher</a,Order of the Phoenix,45
Kreacher</a,Half-Blood Prince,0
Kreacher</a,"Deathly Hallows, Part I",135
Kreacher</a,"Deathly Hallows, Part II",0
Lucius Malfoy</a,Philosopher's/Sorcerer's Stone,0
Lucius Malfoy</a,Chamber of Secrets,405
Lucius Malfoy</a,Prisoner of Azkaban,0
Lucius Malfoy</a,Goblet of Fire,90
Lucius Malfoy</a,Order of the Phoenix,180
Lucius Malfoy</a,Half-Blood Prince,0
Lucius Malfoy</a,"Deathly Hallows, Part I",150
Lucius Malfoy</a,"Deathly Hallows, Part II",90
Cornelius Fudge</a,Philosopher's/Sorcerer's Stone,0
Cornelius Fudge</a,Chamber of Secrets,150
Cornelius Fudge</a,Prisoner of Azkaban,180
Cornelius Fudge</a,Goblet of Fire,60
Cornelius Fudge</a,Order of the Phoenix,165
Cornelius Fudge</a,Half-Blood Prince,0
Cornelius Fudge</a,"Deathly Hallows, Part I",0
Cornelius Fudge</a,"Deathly Hallows, Part II",0
Bill Weasley</a,Philosopher's/Sorcerer's Stone,0
Bill Weasley</a,Chamber of Secrets,0
Bill Weasley</a,Prisoner of Azkaban,0
Bill Weasley</a,Goblet of Fire,0
Bill Weasley</a,Order of the Phoenix,0
Bill Weasley</a,Half-Blood Prince,0
Bill Weasley</a,"Deathly Hallows, Part I",75
Bill Weasley</a,"Deathly Hallows, Part II",30
George Weasley</a,Philosopher's/Sorcerer's Stone,90
George Weasley</a,Chamber of Secrets,150
George Weasley</a,Prisoner of Azkaban,165
George Weasley</a,Goblet of Fire,270
George Weasley</a,Order of the Phoenix,300
George Weasley</a,Half-Blood Prince,45
George Weasley</a,"Deathly Hallows, Part I",135
George Weasley</a,"Deathly Hallows, Part II",60
Professor Horace Slughorn</a,Philosopher's/Sorcerer's Stone,0
Professor Horace Slughorn</a,Chamber of Secrets,0
Professor Horace Slughorn</a,Prisoner of Azkaban,0
Professor Horace Slughorn</a,Goblet of Fire,0
Professor Horace Slughorn</a,Order of the Phoenix,0
Professor Horace Slughorn</a,Half-Blood Prince,1080
Professor Horace Slughorn</a,"Deathly Hallows, Part I",45
Professor Horace Slughorn</a,"Deathly Hallows, Part II",45
Griphook</a,Philosopher's/Sorcerer's Stone,45
Griphook</a,Chamber of Secrets,0
Griphook</a,Prisoner of Azkaban,0
Griphook</a,Goblet of Fire,0
Griphook</a,Order of the Phoenix,0
Griphook</a,Half-Blood Prince,0
Griphook</a,"Deathly Hallows, Part I",60
Griphook</a,"Deathly Hallows, Part II",330
Firenze</a,Philosopher's/Sorcerer's Stone,0
Firenze</a,Chamber of Secrets,0
Firenze</a,Prisoner of Azkaban,0
Firenze</a,Goblet of Fire,0
Firenze</a,Order of the Phoenix,0
Firenze</a,Half-Blood Prince,0
Firenze</a,"Deathly Hallows, Part I",0
Firenze</a,"Deathly Hallows, Part II",0
Ginny Weasley</a,Philosopher's/Sorcerer's Stone,15
Ginny Weasley</a,Chamber of Secrets,285
Ginny Weasley</a,Prisoner of Azkaban,30
Ginny Weasley</a,Goblet of Fire,210
Ginny Weasley</a,Order of the Phoenix,405
Ginny Weasley</a,Half-Blood Prince,525
Ginny Weasley</a,"Deathly Hallows, Part I",120
Ginny Weasley</a,"Deathly Hallows, Part II",225
Professor Pomona Sprout</a,Philosopher's/Sorcerer's Stone,0
Professor Pomona Sprout</a,Chamber of Secrets,90
Professor Pomona Sprout</a,Prisoner of Azkaban,0
Professor Pomona Sprout</a,Goblet of Fire,0
Professor Pomona Sprout</a,Order of the Phoenix,0
Professor Pomona Sprout</a,Half-Blood Prince,0
Professor Pomona Sprout</a,"Deathly Hallows, Part I",30
Professor Pomona Sprout</a,"Deathly Hallows, Part II",30
Amos Diggory</a,Philosopher's/Sorcerer's Stone,0
Amos Diggory</a,Chamber of Secrets,0
Amos Diggory</a,Prisoner of Azkaban,0
Amos Diggory</a,Goblet of Fire,90
Amos Diggory</a,Order of the Phoenix,0
Amos Diggory</a,Half-Blood Prince,0
Amos Diggory</a,"Deathly Hallows, Part I",0
Amos Diggory</a,"Deathly Hallows, Part II",0
Narcissa Malfoy</a,Philosopher's/Sorcerer's Stone,0
Narcissa Malfoy</a,Chamber of Secrets,0
Narcissa Malfoy</a,Prisoner of Azkaban,0
Narcissa Malfoy</a,Goblet of Fire,0
Narcissa Malfoy</a,Order of the Phoenix,0
Narcissa Malfoy</a,Half-Blood Prince,165
Narcissa Malfoy</a,"Deathly Hallows, Part I",150
Narcissa Malfoy</a,"Deathly Hallows, Part II",90
Grawp</a,Philosopher's/Sorcerer's Stone,0
Grawp</a,Chamber of Secrets,0
Grawp</a,Prisoner of Azkaban,0
Grawp</a,Goblet of Fire,0
Grawp</a,Order of the Phoenix,105
Grawp</a,Half-Blood Prince,0
Grawp</a,"Deathly Hallows, Part I",0
Grawp</a,"Deathly Hallows, Part II",0
Scabior</a,Philosopher's/Sorcerer's Stone,0
Scabior</a,Chamber of Secrets,0
Scabior</a,Prisoner of Azkaban,0
Scabior</a,Goblet of Fire,0
Scabior</a,Order of the Phoenix,0
Scabior</a,Half-Blood Prince,0
Scabior</a,"Deathly Hallows, Part I",165
Scabior</a,"Deathly Hallows, Part II",45
Mrs. Arabella Figg</a,Philosopher's/Sorcerer's Stone,0
Mrs. Arabella Figg</a,Chamber of Secrets,0
Mrs. Arabella Figg</a,Prisoner of Azkaban,0
Mrs. Arabella Figg</a,Goblet of Fire,0
Mrs. Arabella Figg</a,Order of the Phoenix,90
Mrs. Arabella Figg</a,Half-Blood Prince,0
Mrs. Arabella Figg</a,"Deathly Hallows, Part I",0
Mrs. Arabella Figg</a,"Deathly Hallows, Part II",0
Dudley Dursley</a,Philosopher's/Sorcerer's Stone,165
Dudley Dursley</a,Chamber of Secrets,75
Dudley Dursley</a,Prisoner of Azkaban,105
Dudley Dursley</a,Goblet of Fire,0
Dudley Dursley</a,Order of the Phoenix,225
Dudley Dursley</a,Half-Blood Prince,0
Dudley Dursley</a,"Deathly Hallows, Part I",15
Dudley Dursley</a,"Deathly Hallows, Part II",0
Aunt Marge</a,Philosopher's/Sorcerer's Stone,0
Aunt Marge</a,Chamber of Secrets,0
Aunt Marge</a,Prisoner of Azkaban,165
Aunt Marge</a,Goblet of Fire,0
Aunt Marge</a,Order of the Phoenix,0
Aunt Marge</a,Half-Blood Prince,0
Aunt Marge</a,"Deathly Hallows, Part I",0
Aunt Marge</a,"Deathly Hallows, Part II",0
Nigel</a,Philosopher's/Sorcerer's Stone,0
Nigel</a,Chamber of Secrets,0
Nigel</a,Prisoner of Azkaban,0
Nigel</a,Goblet of Fire,30
Nigel</a,Order of the Phoenix,75
Nigel</a,Half-Blood Prince,15
Nigel</a,"Deathly Hallows, Part I",15
Nigel</a,"Deathly Hallows, Part II",45
Sirius Black</a,Philosopher's/Sorcerer's Stone,0
Sirius Black</a,Chamber of Secrets,0
Sirius Black</a,Prisoner of Azkaban,690
Sirius Black</a,Goblet of Fire,75
Sirius Black</a,Order of the Phoenix,450
Sirius Black</a,Half-Blood Prince,0
Sirius Black</a,"Deathly Hallows, Part I",30
Sirius Black</a,"Deathly Hallows, Part II",30
Moaning Myrtle</a,Philosopher's/Sorcerer's Stone,0
Moaning Myrtle</a,Chamber of Secrets,90
Moaning Myrtle</a,Prisoner of Azkaban,0
Moaning Myrtle</a,Goblet of Fire,75
Moaning Myrtle</a,Order of the Phoenix,0
Moaning Myrtle</a,Half-Blood Prince,0
Moaning Myrtle</a,"Deathly Hallows, Part I",0
Moaning Myrtle</a,"Deathly Hallows, Part II",0
Cormac McLaggen</a,Philosopher's/Sorcerer's Stone,0
Cormac McLaggen</a,Chamber of Secrets,0
Cormac McLaggen</a,Prisoner of Azkaban,0
Cormac McLaggen</a,Goblet of Fire,0
Cormac McLaggen</a,Order of the Phoenix,0
Cormac McLaggen</a,Half-Blood Prince,90
Cormac McLaggen</a,"Deathly Hallows, Part I",15
Cormac McLaggen</a,"Deathly Hallows, Part II",45
Dobby</a,Philosopher's/Sorcerer's Stone,0
Dobby</a,Chamber of Secrets,450
Dobby</a,Prisoner of Azkaban,0
Dobby</a,Goblet of Fire,0
Dobby</a,Order of the Phoenix,0
Dobby</a,Half-Blood Prince,0
Dobby</a,"Deathly Hallows, Part I",225
Dobby</a,"Deathly Hallows, Part II",0
Gregory Goyle</a,Philosopher's/Sorcerer's Stone,30
Gregory Goyle</a,Chamber of Secrets,75
Gregory Goyle</a,Prisoner of Azkaban,120
Gregory Goyle</a,Goblet of Fire,45
Gregory Goyle</a,Order of the Phoenix,75
Gregory Goyle</a,Half-Blood Prince,15
Gregory Goyle</a,"Deathly Hallows, Part I",15
Gregory Goyle</a,"Deathly Hallows, Part II",75
Dean Thomas</a,Philosopher's/Sorcerer's Stone,75
Dean Thomas</a,Chamber of Secrets,60
Dean Thomas</a,Prisoner of Azkaban,45
Dean Thomas</a,Goblet of Fire,60
Dean Thomas</a,Order of the Phoenix,75
Dean Thomas</a,Half-Blood Prince,30
Dean Thomas</a,"Deathly Hallows, Part I",60
Dean Thomas</a,"Deathly Hallows, Part II",60
Rita Skeeter</a,Philosopher's/Sorcerer's Stone,0
Rita Skeeter</a,Chamber of Secrets,0
Rita Skeeter</a,Prisoner of Azkaban,0
Rita Skeeter</a,Goblet of Fire,195
Rita Skeeter</a,Order of the Phoenix,0
Rita Skeeter</a,Half-Blood Prince,0
Rita Skeeter</a,"Deathly Hallows, Part I",15
Rita Skeeter</a,"Deathly Hallows, Part II",0
