character,movie,time
Filius Flitwick</a,Goblet of Fire,45
Filius Flitwick</a,Order of the Phoenix,30
Filius Flitwick</a,Half-Blood Prince,30
Filius Flitwick</a,"Deathly Hallows, Part I",90
Filius Flitwick</a,"Deathly Hallows, Part II",90
Blaise Zabini</a,Philosopher's/Sorcerer's Stone,0
Blaise Zabini</a,Chamber of Secrets,0
Blaise Zabini</a,Prisoner of Azkaban,0
Blaise Zabini</a,Goblet of Fire,0
Blaise Zabini</a,Order of the Phoenix,0
Blaise Zabini</a,Half-Blood Prince,60
Blaise Zabini</a,"Deathly Hallows, Part I",90
Blaise Zabini</a,"Deathly Hallows, Part II",90
Mary Cattermole</a,Philosopher's/Sorcerer's Stone,0
Mary Cattermole</a,Chamber of Secrets,0
Mary Cattermole</a,Prisoner of Azkaban,0
Mary Cattermole</a,Goblet of Fire,0
Mary Cattermole</a,Order of the Phoenix,0
Mary Cattermole</a,Half-Blood Prince,0
Mary Cattermole</a,"Deathly Hallows, Part I",105
Mary Cattermole</a,"Deathly Hallows, Part II",0
Madame Olympe Maxime</a,Philosopher's/Sorcerer's Stone,0
Madame Olympe Maxime</a,Chamber of Secrets,0
Madame Olympe Maxime</a,Prisoner of Azkaban,0
Madame Olympe Maxime</a,Goblet of Fire,180
Madame Olympe Maxime</a,Order of the Phoenix,0
Madame Olympe Maxime</a,Half-Blood Prince,0
Madame Olympe Maxime</a,"Deathly Hallows, Part I",15
Madame Olympe Maxime</a,"Deathly Hallows, Part II",0
Albus Severus Potter</a,Philosopher's/Sorcerer's Stone,0
Albus Severus Potter</a,Chamber of Secrets,0
Albus Severus Potter</a,Prisoner of Azkaban,0
Albus Severus Potter</a,Goblet of Fire,0
Albus Severus Potter</a,Order of the Phoenix,0
Albus Severus Potter</a,Half-Blood Prince,0
Albus Severus Potter</a,"Deathly Hallows, Part I",105
Albus Severus Potter</a,"Deathly Hallows, Part II",105
Fleur Delacour</a,Philosopher's/Sorcerer's Stone,0
Fleur Delacour</a,Chamber of Secrets,0
Fleur Delacour</a,Prisoner of Azkaban,0
Fleur Delacour</a,Goblet of Fire,270
Fleur Delacour</a,Order of the Phoenix,0
Fleur Delacour</a,Half-Blood Prince,0
Fleur Delacour</a,"Deathly Hallows, Part I",90
Fleur Delacour</a,"Deathly Hallows, Part II",30
Nearly Headless Nick</a,Philosopher's/Sorcerer's Stone,45
Nearly Headless Nick</a,Chamber of Secrets,45
Nearly Headless Nick</a,Prisoner of Azkaban,0
Nearly Headless Nick</a,Goblet of Fire,0
Nearly Headless Nick</a,Order of the Phoenix,0
Nearly Headless Nick</a,Half-Blood Prince,0
Nearly Headless Nick</a,"Deathly Hallows, Part I",0
Nearly Headless Nick</a,"Deathly Hallows, Part II",0
Professor Severus Snape</a,Philosopher's/Sorcerer's Stone,240
Professor Severus Snape</a,Chamber of Secrets,270
Professor Severus Snape</a,Prisoner of Azkaban,345
Professor Severus Snape</a,Goblet of Fire,285
Professor Severus Snape</a,Order of the Phoenix,240
Professor Severus Snape</a,Half-Blood Prince,555
Professor Severus Snape</a,"Deathly Hallows, Part I",75
Professor Severus Snape</a,"Deathly Hallows, Part II",585
Harry Potter</a,Philosopher's/Sorcerer's Stone,4365
Harry Potter</a,Chamber of Secrets,5025
Harry Potter</a,Prisoner of Azkaban,4470
Harry Potter</a,Goblet of Fire,3795
Harry Potter</a,Order of the Phoenix,3705
Harry Potter</a,Half-Blood Prince,4020
Harry Potter</a,"Deathly Hallows, Part I",4095
Harry Potter</a,"Deathly Hallows, Part II",2880
Bartemius &#x27;Barty&#x27; Crouch</a,Philosopher's/Sorcerer's Stone,0
Bartemius &#x27;Barty&#x27; Crouch</a,Chamber of Secrets,0
Bartemius &#x27;Barty&#x27; Crouch</a,Prisoner of Azkaban,0
Bartemius &#x27;Barty&#x27; Crouch</a,Goblet of Fire,315
Bartemius &#x27;Barty&#x27; Crouch</a,Order of the Phoenix,0
Bartemius &#x27;Barty&#x27; Crouch</a,Half-Blood Prince,0
Bartemius &#x27;Barty&#x27; Crouch</a,"Deathly Hallows, Part I",0
Bartemius &#x27;Barty&#x27; Crouch</a,"Deathly Hallows, Part II",0
Dolores Umbridge</a,Philosopher's/Sorcerer's Stone,0
Dolores Umbridge</a,Chamber of Secrets,0
Dolores Umbridge</a,Prisoner of Azkaban,0
Dolores Umbridge</a,Goblet of Fire,0
Dolores Umbridge</a,Order of the Phoenix,855
Dolores Umbridge</a,Half-Blood Prince,0
Dolores Umbridge</a,"Deathly Hallows, Part I",105
Dolores Umbridge</a,"Deathly Hallows, Part II",0
Colin Creevey</a,Philosopher's/Sorcerer's Stone,0
Colin Creevey</a,Chamber of Secrets,75
Colin Creevey</a,Prisoner of Azkaban,0
Colin Creevey</a,Goblet of Fire,0
Colin Creevey</a,Order of the Phoenix,0
Colin Creevey</a,Half-Blood Prince,0
Colin Creevey</a,"Deathly Hallows, Part I",0
Colin Creevey</a,"Deathly Hallows, Part II",0
Mr. Ollivander</a,Philosopher's/Sorcerer's Stone,180
Mr. Ollivander</a,Chamber of Secrets,0
Mr. Ollivander</a,Prisoner of Azkaban,0
Mr. Ollivander</a,Goblet of Fire,0
Mr. Ollivander</a,Order of the Phoenix,0
Mr. Ollivander</a,Half-Blood Prince,0
Mr. Ollivander</a,"Deathly Hallows, Part I",60
Mr. Ollivander</a,"Deathly Hallows, Part II",195
Remus Lupin</a,Philosopher's/Sorcerer's Stone,0
Remus Lupin</a,Chamber of Secrets,0
Remus Lupin</a,Prisoner of Azkaban,1155
Remus Lupin</a,Goblet of Fire,0
Remus Lupin</a,Order of the Phoenix,75
Remus Lupin</a,Half-Blood Prince,120
Remus Lupin</a,"Deathly Hallows, Part I",120
Remus Lupin</a,"Deathly Hallows, Part II",90
Lee Jordan</a,Philosopher's/Sorcerer's Stone,45
Lee Jordan</a,Chamber of Secrets,15
Lee Jordan</a,Prisoner of Azkaban,0
Lee Jordan</a,Goblet of Fire,0
Lee Jordan</a,Order of the Phoenix,0
Lee Jordan</a,Half-Blood Prince,0
Lee Jordan</a,"Deathly Hallows, Part I",0
Lee Jordan</a,"Deathly Hallows, Part II",0
Death Eater Yaxley</a,Philosopher's/Sorcerer's Stone,0
Death Eater Yaxley</a,Chamber of Secrets,0
Death Eater Yaxley</a,Prisoner of Azkaban,0
Death Eater Yaxley</a,Goblet of Fire,0
Death Eater Yaxley</a,Order of the Phoenix,0
Death Eater Yaxley</a,Half-Blood Prince,0
Death Eater Yaxley</a,"Deathly Hallows, Part I",120
Death Eater Yaxley</a,"Deathly Hallows, Part II",0
Nymphadora Tonks</a,Philosopher's/Sorcerer's Stone,0
Nymphadora Tonks</a,Chamber of Secrets,0
Nymphadora Tonks</a,Prisoner of Azkaban,0
Nymphadora Tonks</a,Goblet of Fire,0
Nymphadora Tonks</a,Order of the Phoenix,105
Nymphadora Tonks</a,Half-Blood Prince,105
Nymphadora Tonks</a,"Deathly Hallows, Part I",60
Nymphadora Tonks</a,"Deathly Hallows, Part II",30
Fred Weasley</a,Philosopher's/Sorcerer's Stone,90
Fred Weasley</a,Chamber of Secrets,150
Fred Weasley</a,Prisoner of Azkaban,165
Fred Weasley</a,Goblet of Fire,270
Fred Weasley</a,Order of the Phoenix,300
Fred Weasley</a,Half-Blood Prince,45
Fred Weasley</a,"Deathly Hallows, Part I",120
Fred Weasley</a,"Deathly Hallows, Part II",45
Bogrod</a,Philosopher's/Sorcerer's Stone,0
Bogrod</a,Chamber of Secrets,0
Bogrod</a,Prisoner of Azkaban,0
Bogrod</a,Goblet of Fire,0
Bogrod</a,Order of the Phoenix,0
Bogrod</a,Half-Blood Prince,0
Bogrod</a,"Deathly Hallows, Part I",180
Bogrod</a,"Deathly Hallows, Part II",180
Professor Gilderoy Lockhart</a,Philosopher's/Sorcerer's Stone,0
Professor Gilderoy Lockhart</a,Chamber of Secrets,630
Professor Gilderoy Lockhart</a,Prisoner of Azkaban,0
Professor Gilderoy Lockhart</a,Goblet of Fire,0
Professor Gilderoy Lockhart</a,Order of the Phoenix,0
Professor Gilderoy Lockhart</a,Half-Blood Prince,0
Professor Gilderoy Lockhart</a,"Deathly Hallows, Part I",0
Professor Gilderoy Lockhart</a,"Deathly Hallows, Part II",0
Aunt Petunia Dursley</a,Philosopher's/Sorcerer's Stone,180
Aunt Petunia Dursley</a,Chamber of Secrets,90
Aunt Petunia Dursley</a,Prisoner of Azkaban,135
Aunt Petunia Dursley</a,Goblet of Fire,0
Aunt Petunia Dursley</a,Order of the Phoenix,75
Aunt Petunia Dursley</a,Half-Blood Prince,0
Aunt Petunia Dursley</a,"Deathly Hallows, Part I",15
Aunt Petunia Dursley</a,"Deathly Hallows, Part II",0
Vincent Crabbe</a,Philosopher's/Sorcerer's Stone,45
Vincent Crabbe</a,Chamber of Secrets,75
Vincent Crabbe</a,Prisoner of Azkaban,120
Vincent Crabbe</a,Goblet of Fire,45
Vincent Crabbe</a,Order of the Phoenix,75
Vincent Crabbe</a,Half-Blood Prince,15
Vincent Crabbe</a,"Deathly Hallows, Part I",0
Vincent Crabbe</a,"Deathly Hallows, Part II",0
Mrs. Molly Weasley</a,Philosopher's/Sorcerer's Stone,30
Mrs. Molly Weasley</a,Chamber of Secrets,135
Mrs. Molly Weasley</a,Prisoner of Azkaban,45
Mrs. Molly Weasley</a,Goblet of Fire,0
Mrs. Molly Weasley</a,Order of the Phoenix,105
Mrs. Molly Weasley</a,Half-Blood Prince,75
Mrs. Molly Weasley</a,"Deathly Hallows, Part I",75
Mrs. Molly Weasley</a,"Deathly Hallows, Part II",120
Sybil Trelawney</a,Philosopher's/Sorcerer's Stone,0
Sybil Trelawney</a,Chamber of Secrets,0
