date,time,session_min
2017,17:37:11-05:00,32
2017,18:10:50-05:00,7
2017,18:23:15-05:00,1
2017,19:06:22-05:00,6
2017,19:15:49-05:00,2
2017,19:21:38-05:00,4
2017,19:57:11-05:00,19
2017,20:21:05-05:00,19
2017,20:59:41-05:00,11
2017,21:38:54-05:00,4
2017,21:50:20-05:00,5
2017,22:00:04-05:00,20
2017,00:00:31-05:00,2
2017,09:17:23-05:00,10
2017,09:32:25-05:00,12
2017,09:48:08-05:00,30
2017,11:11:42-05:00,11
2017,11:35:05-05:00,29
2017,12:09:37-05:00,4
2017,13:21:49-05:00,1
2017,13:28:19-05:00,3
2017,13:58:29-05:00,3
2017,14:11:25-05:00,2
2017,14:15:14-05:00,1
2017,14:18:45-05:00,1
2017,15:02:34-05:00,3
2017,15:09:45-05:00,8
2017,17:13:37-05:00,2
2017,17:17:45-05:00,8
2017,17:32:29-05:00,8
2017,17:43:42-05:00,2
2017,17:47:24-05:00,9
2017,17:58:07-05:00,14
2017,18:28:45-05:00,2
2017,18:38:54-05:00,35
2017,19:30:30-05:00,1
2017,22:56:13-05:00,4
2017,00:15:36-05:00,9
2017,00:42:52-05:00,1
2017,01:45:26-05:00,1
2017,03:38:35-05:00,464
2017,11:32:25-05:00,11
2017,11:57:56-05:00,67
2017,15:00:30-05:00,1
2017,15:07:54-05:00,2
2017,15:17:11-05:00,1
2017,15:20:34-05:00,1
2017,15:33:07-05:00,1
2017,15:43:18-05:00,1
2017,15:47:18-05:00,7
2017,16:03:12-05:00,41
2017,16:52:52-05:00,7
2017,17:05:13-05:00,1
2017,17:07:45-05:00,1
2017,17:09:58-05:00,1
2017,17:12:30-05:00,8
2017,17:27:55-05:00,1
2017,17:34:09-05:00,1
2017,17:38:24-05:00,1
2017,17:43:48-05:00,5
2017,17:49:58-05:00,4
2017,17:58:54-05:00,3
2017,18:11:39-05:00,3
2017,18:16:19-05:00,1
2017,18:48:30-05:00,1
2017,18:52:45-05:00,1
2017,18:55:52-05:00,1
2017,18:58:02-05:00,5
2017,19:10:54-05:00,1
2017,20:42:09-05:00,6
2017,21:06:28-05:00,3
2017,22:10:51-05:00,12
2017,22:35:43-05:00,2
2017,23:21:42-05:00,16
2017,23:43:01-05:00,1
2017,23:49:30-05:00,11
2017,00:05:06-05:00,4
2017,07:16:53-05:00,2
2017,07:24:16-05:00,2
2017,07:53:04-05:00,18
2017,09:01:27-05:00,11
2017,09:38:55-05:00,2
2017,10:13:06-05:00,3
2017,10:18:29-05:00,2
2017,10:23:59-05:00,1
2017,10:26:31-05:00,3
2017,10:33:30-05:00,4
2017,10:38:48-05:00,3
2017,10:51:18-05:00,1
2017,10:56:51-05:00,2
2017,11:00:03-05:00,2
2017,11:05:27-05:00,2
2017,11:10:21-05:00,4
2017,11:16:48-05:00,3
2017,11:23:00-05:00,2
2017,11:58:32-05:00,2
2017,12:03:10-05:00,1
2017,12:15:50-05:00,1
2017,12:18:20-05:00,1
2017,12:30:12-05:00,11
2017,12:51:15-05:00,1
2017,13:03:01-05:00,7
2017,13:16:02-05:00,3
2017,13:28:34-05:00,1
2017,13:40:15-05:00,11
2017,13:52:38-05:00,9
2017,14:30:39-05:00,1
2017,15:22:17-05:00,2
2017,15:37:39-05:00,2
2017,16:23:21-05:00,2
2017,17:00:05-05:00,6
2017,17:11:03-05:00,2
2017,18:09:31-05:00,5
2017,18:51:00-05:00,6
2017,19:02:42-05:00,8
2017,19:28:59-05:00,3
2017,19:35:38-05:00,1
2017,21:38:11-05:00,2
2017,22:12:08-05:00,2
2017,22:25:01-05:00,1
2017,08:29:00-05:00,2
2017,08:40:02-05:00,9
2017,08:53:08-05:00,10
2017,09:10:07-05:00,1
2017,12:03:04-05:00,3
2017,12:08:57-05:00,4
2017,13:29:14-05:00,5
2017,13:40:03-05:00,9
2017,15:01:07-05:00,1
2017,15:03:32-05:00,21
2017,16:13:47-05:00,6
2017,16:41:46-05:00,9
2017,17:46:34-05:00,4
2017,17:57:08-05:00,15
2017,19:49:12-05:00,28
2017,20:21:32-05:00,3
2017,20:27:09-05:00,6
2017,20:34:25-05:00,3
2017,20:39:32-05:00,1
2017,20:41:41-05:00,35
2017,21:19:29-05:00,12
2017,22:48:41-05:00,1
2017,23:02:13-05:00,1
2017,23:04:52-05:00,1
2017,23:30:14-05:00,7
2017,00:00:00-05:00,14
2017,00:25:02-05:00,8
2017,00:34:06-05:00,20
2017,09:30:02-05:00,2
2017,09:59:23-05:00,1
2017,10:15:27-05:00,2
2017,10:30:35-05:00,2
2017,10:46:36-05:00,5
2017,11:44:48-05:00,1
2017,11:58:44-05:00,3
2017,12:04:17-05:00,4
2017,12:14:58-05:00,2
2017,12:25:18-05:00,1
2017,12:43:26-05:00,1
2017,12:54:51-05:00,4
2017,13:10:39-05:00,6
2017,13:56:08-05:00,2
2017,14:52:11-05:00,12
2017,15:16:48-05:00,2
2017,15:26:25-05:00,1
2017,15:36:08-05:00,1
2017,15:40:28-05:00,4
2017,16:42:02-05:00,4
2017,17:32:11-05:00,1
2017,17:37:24-05:00,5
2017,17:51:55-05:00,1
2017,17:55:09-05:00,1
2017,17:57:38-05:00,11
2017,18:30:49-05:00,84
2017,20:08:07-05:00,6
2017,21:32:08-05:00,6
2017,21:42:01-05:00,53
2017,22:36:34-05:00,21
2017,23:09:35-05:00,8
2017,00:00:06-05:00,11
2017,09:00:40-05:00,2
2017,10:01:23-05:00,1
2017,10:16:40-05:00,4
2017,10:31:38-05:00,2
2017,11:54:27-05:00,10
2017,12:07:17-05:00,5
2017,12:21:08-05:00,7
2017,12:33:22-05:00,7
2017,12:44:33-05:00,7
2017,13:00:59-05:00,6
2017,13:09:32-05:00,16
2017,13:30:35-05:00,1
2017,14:41:31-05:00,1
2017,14:43:44-05:00,1
2017,15:32:09-05:00,1
2017,15:50:51-05:00,1
2017,16:23:38-05:00,6
2017,16:36:44-05:00,8
2017,17:12:25-05:00,1
2017,17:18:04-05:00,1
2017,17:20:38-05:00,1
2017,17:24:56-05:00,1
2017,17:31:50-05:00,2
2017,18:08:28-05:00,10
2017,18:22:27-05:00,1
2017,18:27:46-05:00,7
2017,19:04:15-05:00,4
2017,19:10:15-05:00,2
2017,19:15:18-05:00,6
2017,19:42:06-05:00,5
2017,20:13:11-05:00,1
2017,20:43:49-05:00,6
2017,21:02:17-05:00,5
2017,21:08:24-05:00,3
2017,21:35:35-05:00,6
2017,21:42:54-05:00,3
2017,21:49:07-05:00,1
2017,22:23:10-05:00,17
2017,22:41:58-05:00,76
2017,05:51:31-05:00,1
2017,09:18:51-05:00,1
2017,09:50:59-05:00,3
2017,09:56:58-05:00,1
2017,10:11:02-05:00,2
2017,10:20:38-05:00,1
2017,10:50:27-05:00,2
2017,10:55:10-05:00,3
2017,11:00:11-05:00,1
2017,11:07:02-05:00,1
2017,11:42:17-05:00,3
2017,11:57:27-05:00,3
2017,12:26:07-05:00,7
2017,13:16:17-05:00,1
2017,13:24:14-05:00,2
2017,13:36:49-05:00,1
2017,13:39:54-05:00,1
2017,13:50:55-05:00,4
2017,14:10:32-05:00,2
2017,14:20:16-05:00,1
2017,14:42:58-05:00,2
2017,14:47:00-05:00,12
2017,15:04:45-05:00,13
2017,15:20:28-05:00,1
2017,15:25:01-05:00,2
2017,15:42:16-05:00,1
2017,15:50:03-05:00,4
